STATUS | wrapper  | 2019/09/19 14:00:35 | --> Wrapper Started as Console
STATUS | wrapper  | 2019/09/19 14:00:36 | Launching a JVM...
INFO   | jvm 1    | 2019/09/19 14:00:36 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2019/09/19 14:00:36 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2019/09/19 14:00:36 | 
INFO   | jvm 1    | 2019/09/19 14:00:36 | Java Runtime: Oracle Corporation 1.8.0_144 C:\Program Files\Java\jre1.8.0_144
INFO   | jvm 1    | 2019/09/19 14:00:36 |   Heap sizes: current=123904k  free=113404k  max=932352k
INFO   | jvm 1    | 2019/09/19 14:00:36 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=true -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=InnPvRV1joefI5y8 -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=7580 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2019/09/19 14:00:36 | Extensions classpath:
INFO   | jvm 1    | 2019/09/19 14:00:36 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2019/09/19 14:00:36 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2019/09/19 14:00:47 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2019/09/19 14:00:47 |  INFO | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@2531fdf8: startup date [Thu Sep 19 14:00:47 CST 2019]; root of context hierarchy
INFO   | jvm 1    | 2019/09/19 14:00:48 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[D:\MQ\new-version\apache-activemq-5.15.9\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | PListStore:[D:\MQ\new-version\apache-activemq-5.15.9\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Apache ActiveMQ 5.15.9 (localhost, ID:Mr-Liu-58577-1568872849133-0:1) is starting
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Listening for connections at: tcp://Mr-Liu:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Connector openwire started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Listening for connections at: amqp://Mr-Liu:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Connector amqp started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Listening for connections at: stomp://Mr-Liu:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Connector stomp started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Listening for connections at: mqtt://Mr-Liu:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2019/09/19 14:00:49 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@264417af{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2019/09/19 14:00:49 |  INFO | Listening for connections at ws://Mr-Liu:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
